,pvp,timestamp
VINO11.SA,2.0,2025-12-02 14:10:30.009633
VISA34.SA,4.5356517,2025-12-02 14:10:30.009633
VISC11.SA,2.0,2025-12-02 14:10:30.009633
VIVA3.SA,2.8256867,2025-12-02 14:10:30.009633
VRTA11.SA,0.8333791,2025-12-02 14:10:30.009633
VSLH11.SA,2.0,2025-12-02 14:10:30.009633
VVEO3.SA,0.26332286,2025-12-02 14:10:30.009633
WALM34.SA,3.0835617,2025-12-02 14:10:30.009633
WEGE3.SA,8.577045,2025-12-02 14:10:30.009633
WFCO34.SA,2.180694,2025-12-02 14:10:30.009633
XINA11.SA,2.0,2025-12-02 14:10:30.009633
XLM-USD,2.0,2025-12-02 14:10:30.009633
XPBR31.SA,2.3699179,2025-12-02 14:10:30.009633
XPLG11.SA,2.0,2025-12-02 14:10:30.009633
XPML11.SA,2.0,2025-12-02 14:10:30.009633
XPSF11.SA,2.0,2025-12-02 14:10:30.009633
XRP-USD,2.0,2025-12-02 14:10:30.009633
Z1OM34.SA,0.5824218,2025-12-02 14:10:30.009633
ZAMP3.SA,0.963126,2025-12-02 14:10:30.009633
EZTC3.SA,0.8673296,2025-12-02 14:10:30.009633
^BVSP,2.0,2025-12-02 14:10:30.009633
